Title,Author,Year,Priority_Score,Language,Publisher
"Corona florida medicinae, sive, De conservatione sanitatis","Gazio, Antonio, 1449-1528",1491,8.0,Latin,"Venice : Joannes and Gregorius de Gregoriis, de Forlivio"
"Corona florida medicinae, sive, De conservatione sanitatis","Gazio, Antonio, 1449-1528",1491,8.0,Latin,"Venice : Joannes and Gregorius de Gregoriis, de Forlivio"
"Corona florida medicinae, sive, De conservatione sanitatis","Gazio, Antonio, 1449-1528",1491,8.0,Latin,"Venice : Joannes and Gregorius de Gregoriis, de Forlivio"
"Corona florida medicinae, sive, De conservatione sanitatis","Gazio, Antonio, 1449-1528",1491,8.0,Latin,"Venice : Joannes and Gregorius de Gregoriis, de Forlivio"
"Corona florida medicinae, sive, De conservatione sanitatis","Gazio, Antonio, 1449-1528",1491,8.0,Latin,"Venice : Joannes and Gregorius de Gregoriis, de Forlivio"
"Corona florida medicinae, sive, De conservatione sanitatis","Gazio, Antonio, 1449-1528",1491,8.0,Latin,"Venice : Joannes and Gregorius de Gregoriis, de Forlivio"
"Corona florida medicinae, sive, De conservatione sanitatis","Gazio, Antonio, 1449-1528",1491,8.0,Latin,"Venice : Joannes and Gregorius de Gregoriis, de Forlivio"
"Corona florida medicinae, sive, De conservatione sanitatis","Gazio, Antonio, 1449-1528",1491,8.0,Latin,"Venice : Joannes and Gregorius de Gregoriis, de Forlivio"
"Corona florida medicinae, sive, De conservatione sanitatis","Gazio, Antonio, 1449-1528",1491,8.0,Latin,"Venice : Joannes and Gregorius de Gregoriis, de Forlivio"
"Corona florida medicinae, sive, De conservatione sanitatis","Gazio, Antonio, 1449-1528",1491,8.0,Latin,"Venice : Joannes and Gregorius de Gregoriis, de Forlivio"
"Corona florida medicinae, sive, De conservatione sanitatis","Gazio, Antonio, 1449-1528",1491,8.0,Latin,"Venice : Joannes and Gregorius de Gregoriis, de Forlivio"
